var;plot_id;spike;flower;small;medium;large;total;
Capone;36;1;0;0;0;0;0;
Capone;36;2;2;0;0;0;2;
Capone;36;3;5;3;2;1;3;
Capone;36;4;5;0;2, 3;1;3;
Capone;36;5;5;1;3;2;3;
Capone;36;6;5;1, 2, 3;0;3;4;
Capone;36;7;5;1, 2, 3;4;0;4;
Capone;36;8;5;1, 2;4;3;4;
Capone;36;9;5;1, 2, 3;4;0;4;
Capone;36;10;6;1, 2;3;4;4;
Capone;36;11;6;0;1, 2, 3, 4;0;4;
Capone;36;12;5;3;1, 2, 4;0;4;
Capone;36;13;5;1, 2;3;0;3;
Capone;36;14;5;0;1, 2, 3;0;3;
Capone;36;15;5;2,3;1;0;3;
Capone;36;16;4;0;1, 2, 3;0;3;
Capone;36;17;4;0;2, 3;1;3;
Capone;36;18;5;0;1, 2, 3;0;3;
Capone;36;19;4;1, 2, 3;0;0;3;
Capone;36;20;3;1, 2, 3;0;0;3;
Capone;36;21;4;1;2;0;2;
