var;plot_id;spike;flower;small;medium;large;total
Capone;38;1;0;0;0;0;0
Capone;38;2;1;0;0;0;0
Capone;38;3;2;1, 2;0;0;2
Capone;38;4;3;1;2;0;2
Capone;38;5;4;1, 2, 3;0;0;3
Capone;38;6;4;1, 2, 3;0;0;3
Capone;38;7;5;1, 2, 3;0;0;3
Capone;38;8;5;1, 2, 3;0;0;3
Capone;38;9;5;1, 2, 3;0;0;3
Capone;38;10;5;1, 2, 3;0;0;3
Capone;38;11;5;1, 2, 3;0;0;3
Capone;38;12;4;2, 3;1;0;3
Capone;38;13;5;1, 2, 3;0;0;3
Capone;38;14;4;1, 2, 3;0;0;3
Capone;38;15;4;1, 2, 3;0;0;3
Capone;38;16;4;1, 2, 3;0;0;3
Capone;38;17;4;1, 2;0;0;2
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
