"var","plot_id","spike","flower","total","rep","batch","flower_abort","kernel.type","floret.pos","type","timeid","nitrogen","appl","date"
"Capone",36,1,0,0,1,1,2,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,1,0,0,1,1,2,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,1,0,0,1,1,2,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,2,0,0,1,1,2,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,2,0,0,1,1,2,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,2,0,0,1,1,2,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,3,2,0,1,1,0,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,3,2,0,1,1,0,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,3,2,0,1,1,0,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,4,3,0,1,1,0,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,4,3,0,1,1,0,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,4,3,0,1,1,0,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,5,4,0,1,1,0,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,5,4,0,1,1,0,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,5,4,0,1,1,0,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,6,3,0,1,1,0,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,6,3,0,1,1,0,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,6,3,0,1,1,0,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,7,4,0,1,1,0,"small",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,7,4,0,1,1,0,"medium",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,7,4,0,1,1,0,"large",0,"basal","Late",176,"Combined","22.10.2020"
"Capone",36,8,4,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,8,4,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,8,4,0,1,1,0,"large",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,9,4,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,9,4,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,9,4,0,1,1,0,"large",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,10,4,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,10,4,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,10,4,0,1,1,0,"large",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,11,5,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,11,5,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,11,5,0,1,1,0,"large",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,12,4,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,12,4,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,12,4,0,1,1,0,"large",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,13,5,0,1,1,0,"small",0,"central","Late",176,"Combined","22.10.2020"
"Capone",36,13,5,0,1,1,0,"medium",0,"central","Late",176,"Combined","22.10.2020"
